conflict_id,document_id_1,document_id_2,conflict_reason,source_path_1,source_path_2,sha256_1,sha256_2,review_required,notes
CUR-85d0c3-ae359b,GDL-2a8d06b8d2d1,GDL-2a8d06b8d2d1,복수 버전이 현행본으로 표시됨,sources/raw/guidelines/sources/university_guidelines/raw/posts/5099/attachments/2015-11-4-3C인재 인증제 운영지침.hwp,sources/raw/guidelines/sources/university_guidelines/raw/posts/1074000/attachments/국립한국교통대학교 3C인재 인증제 운영지침.hwp,85d0c354bb856b6c0275f48913a6b4f821c240d8e0bfddae584477f9c6a7b44b,ae359b19a74d37fa4c7d4debfbaf013df0408e7de87801a5aa471420480994f5,True,현행본 자동 확정 해제
CUR-cc0aca-366403,GDL-42080ca089c9,GDL-42080ca089c9,복수 버전이 현행본으로 표시됨,sources/raw/guidelines/sources/university_guidelines/raw/posts/1036462/attachments/한국교통대학교 K+상담이음 통합위원회 구성 및 운영지침(2020.10.16. 지침 제301호).hwp,sources/raw/guidelines/sources/university_guidelines/raw/posts/1060058/attachments/한국교통대학교 K+상담이음 통합위원회 구성 및 운영지침 전부 개정(지침 제481호).hwp,cc0acaba82f8c5a1af6d1750705e4c36819ccc1a03c9af8ce4c0ec8511c01c4c,3664032b9c512ef5d35440cf60a2d2dbbcf70cecba77938c997d37014cbe4ce1,True,현행본 자동 확정 해제
CUR-4e690d-b4d0c1,GDL-980f83f6be16,GDL-980f83f6be16,복수 버전이 현행본으로 표시됨,sources/raw/guidelines/sources/university_guidelines/raw/posts/5070/attachments/10가족회사규정-세부운영지침.hwp,sources/raw/guidelines/sources/university_guidelines/raw/posts/1042838/attachments/한국교통대학교 가족회사규정 세부운영지침(지침 제364호).hwp,4e690d719e2b691db647440a8c1e8c997f612d8916e2c71044d151bc680b71bd,b4d0c17c7869014daccb7d3b613a5873e2bae890dc154bcb22818136cbfea6c5,True,현행본 자동 확정 해제
CUR-a19e27-a7668a,GDL-9e444aafc07a,GDL-9e444aafc07a,복수 버전이 현행본으로 표시됨,sources/raw/guidelines/sources/university_guidelines/raw/posts/1009748/attachments/교원 성과급적연봉제 및 교원 업적평가 운영지침(2017.7.19.).hwp,sources/raw/guidelines/sources/university_guidelines/raw/posts/1019283/attachments/(지침 제175호) 교원 성과급적연봉제 및 교원 업적평가 운영지침 (2018.9.4.).hwp,a19e27c3c91edc4e8fe1209cb7671ba7257d781343e62b887bc3778befdb32e2,a7668a18918f00bc57e66b15d265b7657d1351ba55200d3661aa5d3c44b7b006,True,현행본 자동 확정 해제
CUR-a7668a-4946a9,GDL-9e444aafc07a,GDL-9e444aafc07a,복수 버전이 현행본으로 표시됨,sources/raw/guidelines/sources/university_guidelines/raw/posts/1019283/attachments/(지침 제175호) 교원 성과급적연봉제 및 교원 업적평가 운영지침 (2018.9.4.).hwp,sources/raw/guidelines/sources/university_guidelines/raw/posts/1028145/attachments/(지침 제229호)교원 성과급적연봉제 및 교원 업적평가 운영지침(2019.10.24).hwp,a7668a18918f00bc57e66b15d265b7657d1351ba55200d3661aa5d3c44b7b006,4946a9ad2abb32816c568f0f4f578e908a338c9f15857ee9edc4ade734237385,True,현행본 자동 확정 해제
CUR-f51656-424a89,GDL-bb497867e58f,GDL-bb497867e58f,복수 버전이 현행본으로 표시됨,sources/raw/guidelines/sources/university_guidelines/raw/posts/1038278/attachments/한국교통대학교 교육과정 인증에 관한 운영 지침.hwp,sources/raw/guidelines/sources/university_guidelines/raw/posts/1064043/attachments/한국교통대학교 교육과정 인증에 관한 운영 지침(개정 2023.10.11. 제504호).hwp,f5165673a131e19b99d78f6b1f374ac97e80904dffe7b9cf6d485b17c479256a,424a89c2d69f2ef68319d34558d065f2451ead93cfbe43af31e5efc5d7d2e97e,True,현행본 자동 확정 해제
CUR-855dd1-39f6c1,GDL-8996d767d6e8,GDL-8996d767d6e8,복수 버전이 현행본으로 표시됨,sources/raw/guidelines/sources/university_guidelines/raw/posts/1043783/attachments/교육수요자 만족도 관리 지침(제382호 2021.7.21.).hwp,sources/raw/guidelines/sources/university_guidelines/raw/posts/1121060/attachments/국립한국교통대학교 교육수요자 만족도 관리 지침.hwp,855dd1fa2c99472992e8d8648c71b74cbcf123a0828bde0263b2fa6378d416bd,39f6c1e70fce50c50a84b1fda4184d17111d146e2092d77f7f15646cc237cac1,True,현행본 자동 확정 해제
CUR-87ef97-7e9c30,GDL-fb866888334d,GDL-fb866888334d,복수 버전이 현행본으로 표시됨,sources/raw/guidelines/sources/university_guidelines/raw/posts/1018272/attachments/03 교육연구학생지도 비용 지급에 관한 지침_개정 전문.hwp,sources/raw/guidelines/sources/university_guidelines/raw/posts/1072857/attachments/국립한국교통대학교 교육연구학생지도 비용 지급에 관한 지침(제568호 2024.08.23.) 개정.hwp,87ef97faf3e22be2c63521b92a1e09b477d710a8fc81cb484d6148c551364005,7e9c3058e3923cc18a8eca3b9daacb58cd4d6be5a878d1cd441dab8639be6b00,True,현행본 자동 확정 해제
CUR-9794ea-232370,GDL-fa4e6c45fa6c,GDL-fa4e6c45fa6c,복수 버전이 현행본으로 표시됨,sources/raw/guidelines/sources/university_guidelines/raw/posts/1050997/attachments/한국교통대학교 국립대학 육성사업 관리 운영 지침.hwp,sources/raw/guidelines/sources/university_guidelines/raw/posts/1086942/attachments/국립한국교통대학교 국립대학 육성사업 관리 운영 지침.hwp,9794ea3ebcd719263fcea0a5065e3741220f7c78d4e36db7ce3104841235925b,232370bb046025f015b38daa68d7bd4e932b7883f58e02444da0e500dc7494e4,True,현행본 자동 확정 해제
CUR-a62158-898504,GDL-9f39b180e790,GDL-9f39b180e790,복수 버전이 현행본으로 표시됨,sources/raw/guidelines/sources/university_guidelines/raw/posts/1046046/attachments/한국교통대학교 대학원 장학금 지급 지침(지침 제392호. 2021.10.18.).hwp,sources/raw/guidelines/sources/university_guidelines/raw/posts/1049912/attachments/한국교통대학교 대학원 장학금 지급 지침.hwp,a62158e3e3f3d79957b7fc1c4eed31ae82c2c3a20107d415840b7c083d5ed7a8,8985046ee5ba1ed0e2ea28603a1990a984b63bcc0053657299e1644e3e8bcbe6,True,현행본 자동 확정 해제
CUR-0d37b4-85f224,GDL-ff22eab74f58,GDL-ff22eab74f58,복수 버전이 현행본으로 표시됨,sources/raw/guidelines/sources/university_guidelines/raw/posts/1028782/attachments/대학원 장학 운영 지침.hwp,sources/raw/guidelines/sources/university_guidelines/raw/posts/5109/attachments/대학원장학운영지침.hwp,0d37b4ceb74b342ea9026b608fd5cd9df210c3291327e2ad8fee950162a9711c,85f2248661b26ccf03ed3a1730cb9ab7a975f6d998eac5c63d6c91e3209e127f,True,현행본 자동 확정 해제
CUR-c62506-3a8d39,GDL-c1e3e6bf93e7,GDL-c1e3e6bf93e7,복수 버전이 현행본으로 표시됨,sources/raw/guidelines/sources/university_guidelines/raw/posts/1029430/attachments/한국교통대학교 대학혁신지원사업 관리운영 지침(2019. 12. 31.).hwp,sources/raw/guidelines/sources/university_guidelines/raw/posts/1050996/attachments/한국교통대학교 대학혁신지원사업 관리 운영 지침.hwp,c6250684deea0068825a8250c598085d3ad74b30f7c5280416462860e794afc8,3a8d39c7e4169165392bb9655b53e4f97e5cf931d2b7b298944342a4752ea47b,True,현행본 자동 확정 해제
CUR-b53710-d0cc64,GDL-f0513d11780b,GDL-f0513d11780b,복수 버전이 현행본으로 표시됨,sources/raw/guidelines/sources/university_guidelines/raw/posts/1030828/attachments/[붙임1] 한국교통대학교 부서평가 지침_20200217.hwp,sources/raw/guidelines/sources/university_guidelines/raw/posts/1065928/attachments/2. 국립한국교통대학교 부서평가 지침 개정(안)-최종최종.hwp,b53710a1cb30e761eaee423339b77a3e38f1a0a8785c6d84bf96bddd91852073,d0cc64b2778d3c37f46ae6b9d1e9a651fc4119dea56d038b3734c23b03660b59,True,현행본 자동 확정 해제
CUR-d0cc64-ba9736,GDL-f0513d11780b,GDL-f0513d11780b,복수 버전이 현행본으로 표시됨,sources/raw/guidelines/sources/university_guidelines/raw/posts/1065928/attachments/2. 국립한국교통대학교 부서평가 지침 개정(안)-최종최종.hwp,sources/raw/guidelines/sources/university_guidelines/raw/posts/1085137/attachments/국립한국교통대학교 부서평가 지침(2025.12.30. 지침 제641호).hwp,d0cc64b2778d3c37f46ae6b9d1e9a651fc4119dea56d038b3734c23b03660b59,ba97360730f984756ace377ca6a164894fab1af42971b543661aceff7fd62b76,True,현행본 자동 확정 해제
CUR-f46aae-537245,GDL-aaea1d409b71,GDL-aaea1d409b71,복수 버전이 현행본으로 표시됨,sources/raw/guidelines/sources/university_guidelines/raw/posts/5087/attachments/한국교통대학교 사회봉사단 운영지침_2012.3.2.hwp,sources/raw/guidelines/sources/university_guidelines/raw/posts/1078789/attachments/(공포문) 국립한국교통대학교 사회봉사단 운영 지침.hwp,f46aaef60ea80e204c6350652a23d10ab3b2002986e9781475c4d1cfa96a6ed5,53724543a70f867f78501af5189dec13eef0c8ceddff75a53117dcf71e11a00d,True,현행본 자동 확정 해제
CUR-5fee33-379e81,GDL-cc6c7f3a04fa,GDL-cc6c7f3a04fa,복수 버전이 현행본으로 표시됨,sources/raw/guidelines/sources/university_guidelines/raw/posts/1053408/attachments/한국교통대학교 산학협력단 부속기관 설치·운영 지침(제434호 2022-07-06).hwp,sources/raw/guidelines/sources/university_guidelines/raw/posts/1070476/attachments/국립한국교통대학교 산학협력단 부속기관 설치·운영 지침-549호20240607.hwp,5fee3354eab315536a717c6d075248b06b3fc591c4f3197e4487e6b04fb2ac76,379e81f5a4c6ab8698f6deb102bf3353104ba7f650e265840f39fcc880baf4b8,True,현행본 자동 확정 해제
CUR-490812-a854af,GDL-57dae907c38b,GDL-57dae907c38b,복수 버전이 현행본으로 표시됨,sources/raw/guidelines/sources/university_guidelines/raw/posts/1059831/attachments/한국교통대학교 생명윤리위원회 표준운영지침(2022.11.22. 지침 제457호).hwp,sources/raw/guidelines/sources/university_guidelines/raw/posts/1064809/attachments/한국교통대학교 생명윤리위원회 표준운영지침 폐지(2023.10.24. 지침 509호).hwp,49081204264df15706fc30a2afc3aeab39a89568a207700508ab0e3866469c61,a854afd830bec79ed96ab144854a370d2512a633b2666a4e1d2ea1852892f028,True,현행본 자동 확정 해제
CUR-d64e42-43c747,GDL-90f9dfe2a532,GDL-90f9dfe2a532,복수 버전이 현행본으로 표시됨,sources/raw/guidelines/sources/university_guidelines/raw/posts/1026920/attachments/한국교통대학교 연구소 설립운영에 관한 지침(2019.8.14).hwp,sources/raw/guidelines/sources/university_guidelines/raw/posts/1057129/attachments/한국교통대학교 연구소 설립 운영에 관한 지침(2022.11.29. 지침 제462호).hwp,d64e42ca35102628c82bcfcdfd46be1696f226b335844b8ca9c5098599db2d67,43c7478d342bf32505d43ba9c48ad4d39e1ad2d182667ad6e9affa9b1fc915ad,True,현행본 자동 확정 해제
CUR-89385c-a7d12a,GDL-e6e29be52a8c,GDL-e6e29be52a8c,복수 버전이 현행본으로 표시됨,sources/raw/guidelines/sources/university_guidelines/raw/posts/1059601/attachments/[지침_연구윤리]+한국교통대학교+연구자를+위한+생명윤리지침.pdf,sources/raw/guidelines/sources/university_guidelines/raw/posts/1065007/attachments/한국교통대학교 연구자를 위한 생명윤리지침(2023.11.13. 제512호).hwp,89385cb2583e57ef137dfa9cb388c0e2cede9a30e11cad571526d4f25c9d0d56,a7d12abecaa825820100aaae00b382f7fe40b0859f11c11ebb50831638c3369c,True,현행본 자동 확정 해제
CUR-4c2c90-9fe0dc,GDL-8a45306f55bc,GDL-8a45306f55bc,복수 버전이 현행본으로 표시됨,sources/raw/guidelines/sources/university_guidelines/raw/posts/1012781/attachments/우수교수상 시행지침_확정안.hwp,sources/raw/guidelines/sources/university_guidelines/raw/posts/1046528/attachments/한국교통대학교 우수 교수상 시행지침 일부개정 공포문.hwp,4c2c90a7d7e8a767e94bd384237ddc117cb021d5617ee69636ce5d68675e2717,9fe0dce0cf2ae97ff0ab85784d14be30b165ccfc23358ae4b57a570e2e9a5d7d,True,현행본 자동 확정 해제
CUR-8803a8-a2e3f2,GDL-342bcc06da83,GDL-342bcc06da83,복수 버전이 현행본으로 표시됨,sources/raw/guidelines/sources/university_guidelines/raw/posts/1036775/attachments/한국교통대학교 융합교육위원회 구성 및 운영지침(2020.10.27. 지침 제305호).hwp,sources/raw/guidelines/sources/university_guidelines/raw/posts/1060559/attachments/한국교통대학교 융합교육위원회 구성 및 운영 지침(2023.5.2).hwp,8803a87687676baec241bd4ff139895e54f476e45071b357e5f9a2bf8191be83,a2e3f2cab46551aabe0dc336a65f682f9117644cd25357e7bcfa2d97c5eb2433,True,현행본 자동 확정 해제
CUR-f969ae-b25efd,GDL-7264f315e220,GDL-7264f315e220,복수 버전이 현행본으로 표시됨,sources/raw/guidelines/sources/university_guidelines/raw/posts/1047228/attachments/한국교통대학교 자유전공학부 학과(전공)배정 지침(2021.11.29. 지침 제399호).hwp,sources/raw/guidelines/sources/university_guidelines/raw/posts/1075561/attachments/국립한국교통대학교 자유전공학부 배정지침.hwp,f969ae58892c23259e27a4288bc801090cc4e0419666924e85578918b0381e41,b25efdfb62be3ae5a9f20001eb4219f9af7553e3dae5533619e6a2c86ff6e2e6,True,현행본 자동 확정 해제
